,date,acc_cases,daily_cases,cases_7dma
0,2021-12-24,39,39,32
1,2021-12-25,77,38,34
2,2021-12-26,120,43,35
3,2021-12-27,155,35,39
4,2021-12-28,201,46,40
5,2021-12-29,277,76,45
6,2021-12-30,341,64,49
7,2021-12-31,399,58,51
8,2022-01-01,478,79,57
9,2022-01-02,562,84,63
10,2022-01-03,665,103,73
11,2022-01-04,816,151,88
12,2022-01-05,1176,360,128
13,2022-01-06,1847,671,215
14,2022-01-07,2769,922,339
15,2022-01-08,3993,1224,502
16,2022-01-09,5216,1223,665
17,2022-01-10,6087,871,775
18,2022-01-11,7049,962,890
19,2022-01-12,9247,2198,1153
20,2022-01-13,12371,3124,1503
21,2022-01-14,16422,4051,1950
22,2022-01-15,20983,4561,2427
23,2022-01-16,25155,4172,2848
24,2022-01-17,28874,3719,3255
25,2022-01-18,34059,5185,3859
26,2022-01-19,41436,7377,4598
27,2022-01-20,50074,8638,5386
28,2022-01-21,59773,9699,6193
29,2022-01-22,71000,11227,7145
30,2022-01-23,80468,9468,7902
31,2022-01-24,88971,8503,8585
32,2022-01-25,101784,12813,9675
33,2022-01-26,115870,14086,10633
34,2022-01-27,132408,16538,11762
35,2022-01-28,150043,17635,12896
36,2022-01-29,167476,17433,13782
37,2022-01-30,183371,15895,14700
38,2022-01-31,195104,11733,15162
39,2022-02-01,209549,14445,15395
40,2022-02-02,231125,21576,16465
41,2022-02-03,251804,20679,17057
42,2022-02-04,271602,19798,17366
43,2022-02-05,292724,21122,17893
44,2022-02-06,310250,17526,18126
45,2022-02-07,322461,12211,18194
46,2022-02-08,339574,17113,18575
47,2022-02-09,357861,18287,18105
48,2022-02-10,376752,18891,17850
49,2022-02-11,395412,18660,17687
50,2022-02-12,407177,11765,16350
51,2022-02-13,420251,13074,15714
52,2022-02-14,430585,10334,15446
53,2022-02-15,446110,15525,15219
54,2022-02-16,463441,17331,15083
55,2022-02-17,481305,17864,14936
56,2022-02-18,497434,16129,14575
57,2022-02-19,510950,13516,14825
58,2022-02-20,523885,12935,14805
59,2022-02-21,532690,8805,14586
60,2022-02-22,544133,11443,14003
61,2022-02-23,558700,14567,13608
62,2022-02-24,568869,10169,12509
63,2022-02-25,579994,11125,11794
64,2022-02-26,591556,11562,11515
65,2022-02-27,601877,10321,11142
66,2022-02-28,611349,9472,11237
67,2022-03-01,623162,11813,11290
68,2022-03-02,635855,12693,11022
69,2022-03-03,648106,12251,11320
70,2022-03-04,658623,10517,11233
71,2022-03-05,669429,10806,11125
72,2022-03-06,678718,9289,10977
73,2022-03-07,684092,5374,10392
74,2022-03-08,693017,8925,9979
75,2022-03-09,703840,10823,9712
76,2022-03-10,713920,10080,9402
77,2022-03-11,722384,8464,9109
78,2022-03-12,731548,9164,8874
79,2022-03-13,739679,8131,8709
80,2022-03-14,744515,4836,8632
81,2022-03-15,752351,7836,8476
82,2022-03-16,762572,10221,8390
83,2022-03-17,771033,8461,8159
84,2022-03-18,778858,7825,8068
85,2022-03-19,786302,7444,7822
86,2022-03-20,792804,6502,7589
87,2022-03-21,796659,3855,7449
88,2022-03-22,800192,3533,6834
89,2022-03-23,806622,6430,6293
90,2022-03-24,815497,8875,6352
91,2022-03-25,822786,7289,6275
92,2022-03-26,830226,7440,6275
93,2022-03-27,838070,7844,6467
94,2022-03-28,842614,4544,6565
95,2022-03-29,850460,7846,7181
96,2022-03-30,859980,9520,7623
97,2022-03-31,867972,7992,7496
98,2022-04-01,875954,7982,7595
99,2022-04-02,883349,7395,7589
100,2022-04-03,891248,7899,7597
101,2022-04-04,895632,4384,7574
102,2022-04-05,902600,6968,7449
103,2022-04-06,911252,8652,7325
104,2022-04-07,920005,8753,7433
105,2022-04-08,928117,8112,7452
106,2022-04-09,936219,8102,7553
107,2022-04-10,944245,8026,7571
108,2022-04-11,948807,4562,7596
109,2022-04-12,955729,6922,7590
110,2022-04-13,963982,8253,7533
111,2022-04-14,972522,8540,7502
112,2022-04-15,979290,6768,7310
113,2022-04-16,986087,6797,7124
114,2022-04-17,991307,5220,6723
115,2022-04-18,994786,3479,6568
116,2022-04-19,1000369,5583,6377
117,2022-04-20,1007145,6776,6166
118,2022-04-21,1013858,6713,5905
119,2022-04-22,1019254,5396,5709
120,2022-04-23,1024641,5387,5508
121,2022-04-24,1029577,4936,5467
122,2022-04-25,1032718,3141,5419
123,2022-04-26,1037766,5048,5342
124,2022-04-27,1043818,6052,5239
125,2022-04-28,1049212,5394,5051
126,2022-04-29,1053105,3893,4836
127,2022-04-30,1055965,2860,4475
128,2022-05-01,1059126,3161,4221
129,2022-05-02,1061529,2403,4116
130,2022-05-03,1064886,3357,3874
131,2022-05-04,1067885,2999,3438
132,2022-05-05,1070205,2320,2999
133,2022-05-06,1072886,2681,2826
134,2022-05-07,1076695,3809,2961
135,2022-05-08,1081406,4711,3183
