date,acc_cases,daily,death_acc
2022-04-22,1,1,
2022-04-23,2,1,
2022-04-24,4,2,
2022-04-25,8,4,
2022-04-26,15,7,
2022-04-27,30,15,
2022-04-28,60,30,
2022-04-29,120,60,
2022-04-30,239,119,
2022-05-01,478,239,
2022-05-02,956,478,
2022-05-03,1911,955,
2022-05-04,3821,1910,
2022-05-05,7641,3820,
2022-05-06,15282,7641,
2022-05-07,30563,15281,
2022-05-08,61125,30562,
2022-05-09,122249,61124,
2022-05-10,244498,122249,
2022-05-11,488996,244498,
2022-05-12,506996,18000,6
2022-05-13,524440,17444,27
2022-05-14,820620,296180,42
2022-05-15,1213550,392930,50
2022-05-16,1483060,269510,56
