date,acc_cases,daily_cases,death_acc,guessed,official
2022-05-12,70959,70959,0,1,0
2022-05-13,141918,70959,0,1,0
2022-05-14,225363,83445,8,0,1
2022-05-15,427541,202178,8,0,1
2022-05-16,499912,72371,8,0,1
2022-05-17,545459,45547,9,0,1
2022-05-18,586739,41280,9,0,1
2022-05-19,632061,45322,9,0,1
2022-05-20,666867,34806,9,0,1
2022-05-21,697057,30190,9,0,1
2022-05-22,718427,21370,9,0,1
2022-05-23,738519,20092,9,0,1
2022-05-24,754871,16352,9,0,1
2022-05-25,771160,16289,9,0,1
2022-05-26,783622,12462,9,0,1
2022-05-29,792906,9284,10,0,1
2022-05-30,798727,5821,10,0,1
2022-05-31,802421,3694,10,0,1
2022-06-01,803990,1569,10,0,1
2022-06-02,807021,3031,10,0,1
2022-06-03,809937,2916,11,0,1
