date,imported_cases,daily_local_cases,acc_cases
2022/2/19,23,0,23
2022/2/20,30,2,55
2022/2/21,33,0,88
2022/2/22,57,0,145
2022/2/23,32,0,177
2022/2/24,81,1,259
2022/2/25,74,1,334
2022/2/26,54,1,389
2022/2/27,55,1,445
2022/2/28,52,3,500
2022/3/1,54,2,556
2022/3/2,58,8,622
2022/3/3,64,16,702
2022/3/4,34,19,755
2022/3/5,35,28,818
2022/3/6,48,48,914
2022/3/7,87,55,1056
2022/3/8,36,65,1157
2022/3/9,58,80,1295
2022/3/10,42,75,1412
2022/3/11,31,83,1526
2022/3/12,14,65,1605
2022/3/13,18,167,1790
2022/3/14,15,139,1944
2022/3/15,11,202,2157
2022/3/16,21,157,2335
2022/3/17,12,260,2607
2022/3/18,18,374,2999
2022/3/19,7,503,3509
2022/3/20,19,758,4286
2022/3/21,11,895,5192
2022/3/22,14,981,6187
2022/3/23,13,983,7183
2022/3/24,17,1611,8811
2022/3/25,11,2264,11086
2022/3/26,8,2676,13770
2022/3/27,14,3500,17284
2022/3/28,12,4456,21752
2022/3/29,5,5964,27721
2022/3/30,4,5637,33362
2022/3/31,8,4482,37852
2022/4/1,2,6309,44163
2022/4/2,7,8153,52323
2022/4/3,12,8935,61270
2022/4/4,5,13350,74625
2022/4/5,5,17037,91667
2022/4/6,8,19967,111642
2022/4/7,7,20899,132548
2022/4/8,4,23204,155756
2022/4/9,11,24752,180519
2022/4/10,3,26040,206562
2022/4/11,5,23069,229636
2022/4/12,1,26307,255944
2022/4/13,1,27605,283550
2022/4/14,1,22765,306316
2022/4/15,6,22591,328913
2022/4/16,2,23643,352558
2022/4/17,3,21395,373956
2022/4/18,2,19442,393400
2022/4/19,2,18368,411770
2022/4/20,3,18036,429809
2022/4/21,0,17486,447295
2022/4/22,1,22250,469546
2022/4/23,0,20517,490063
2022/4/24,1,18609,508673
2022/4/25,0,16012,524685
2022/4/26,0,12309,536994
2022/4/27,0,9764,546758
2022/4/28,4,9970,556732
2022/4/29,1,9196,565929
2022/4/30,3,7189,573121
2022/5/1,4,6804,579929
2022/5/2,1,5514,585444
2022/5/3,4,4831,590279
2022/5/4,2,4466,594747
2022/5/5,2,4088,598837
2022/5/6,0,4039,602876
2022/5/7,2,3840,606718
2022/5/8,3,3717,610438
2022/5/9,3,2858,613299
2022/5/10,2,1289,614590
2022/5/11,1,1343,615934
2022/5/12,2,1929,617865
2022/5/13,2,1541,619408
2022/5/14,4,1258,620670
2022/5/15,1,896,621567
